Group,Name,Game 1,Game 2,Game 3
a,@chuurveg,10,10,7
a,@sethwalder,7,9,10
a,@bballmaths,3,8,7
a,@CaioBrighenti2,5,7,5
b,@jacksoslow,10,6,10
b,@yuorme,6,10,7
b,@scott_bush,9,4,4
b,@statsman2886,4,4,6
c,@dangroob,10,10,10
c,@chibearsstats,9,7,5
c,@statsinthewild,6,6,5
c,@nathandelara_,4,4,3
d,@cfbnate,9,10,10
d,@hausinthehouse,10,9,7
d,@stat_ron,9,9,5
d,@avg_sean,4,6,8
e,@zbinney_NFLinj,10,6,6
e,MTM,8,10,3
e,@chiefsanalytics,7,4,10
e,@wildmolasses,5,7,3
f,@punkrockscience,3,10,8
f,@sabinanalytics,8,5,10
f,@nflsharptampa,10,5,7
f,@necessarypaper,8,7,7
g,@JPohlkampHartt,10,10,10
g,@msubbaiah1,6,7,6
g,@dtrainor4,6,4,8
g,@nickwan,5,5,5
h,@sethpartnow,10,10,9
h,@Hharrisk3419,8,4,10
h,@kfloyd34,6,8,9
h,@cardanski0,9,5,6
I,@chuurveg,10,7,
I,@jacksoslow,6,10,
I,@chibearsstats,8,8,
I,@hausinthehouse,6,9,
J,@yuorme,10,6,6
J,@cfbnate,7,10,6
J,@sethwalder,5,6,10
J,@dangroob,8,6,6
K,@zbinney_NFLinj,10,10,
K,@punkrockscience,9,8,
K,@msubbaiah1,7,8,
K,@Hharrisk3419,4,8,
L,@sethpartnow,7,10,
L,@sabinanalytics,10,6,
L,@JPohlkampHartt,8,9,
L,MTM,8,5,
